city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Garden Grove,Garden Grove,33.7787,-117.9601,United States,US,USA,California,,170964,1840020577
Muskegon,Muskegon,43.2281,-86.2562,United States,US,USA,Michigan,,170561,1840002870
Medford,Medford,42.3372,-122.854,United States,US,USA,Oregon,,170502,1840020076
Tuscaloosa,Tuscaloosa,33.2348,-87.5268,United States,US,USA,Alabama,,170416,1840005563
Lancaster,Lancaster,34.6935,-118.1753,United States,US,USA,California,,169169,1840020516
Visalia,Visalia,36.3276,-119.3269,United States,US,USA,California,,167944,1840021639
Manchester,Manchester,42.9848,-71.4447,United States,US,USA,New Hampshire,,167888,1840002983
Norwich,Norwich,41.5495,-72.0882,United States,US,USA,Connecticut,,166930,1840004828
Marysville,Marysville,48.0809,-122.1561,United States,US,USA,Washington,,166250,1840019789
Lafayette,Lafayette,40.3991,-86.8593,United States,US,USA,Indiana,,165110,1840008354
Palmdale,Palmdale,34.5944,-118.1057,United States,US,USA,California,,164634,1840020502
Santa Cruz,Santa Cruz,36.9789,-122.0346,United States,US,USA,California,,163368,1840021579
Odessa,Odessa,31.8801,-102.3448,United States,US,USA,Texas,,160628,1840020794
New Bedford,New Bedford,41.6697,-70.9428,United States,US,USA,Massachusetts,,160431,1840003219
Merced,Merced,37.3057,-120.4779,United States,US,USA,California,,159942,1840020313
Corona,Corona,33.8616,-117.5649,United States,US,USA,California,,159670,1840019305
Hayward,Hayward,37.6328,-122.0766,United States,US,USA,California,,158801,1840020293
Paterson,Paterson,40.9147,-74.1624,United States,US,USA,New Jersey,,158735,1840000838
Binghamton,Binghamton,42.1014,-75.9093,United States,US,USA,New York,,157696,1840000460
Springfield,Springfield,39.7709,-89.654,United States,US,USA,Illinois,admin,157178,1840009517
Alexandria,Alexandria,38.8185,-77.0861,United States,US,USA,Virginia,,156976,1840003837
Lakewood,Lakewood,39.6977,-105.1172,United States,US,USA,Colorado,,156583,1840020198
Macon,Macon,32.8065,-83.6974,United States,US,USA,Georgia,,156578,1840043455
Roseville,Roseville,38.7703,-121.3196,United States,US,USA,California,,155955,1840020233
Kansas City,Kansas City,39.1235,-94.7443,United States,US,USA,Kansas,,155135,1840001626
Hollywood,Hollywood,26.0293,-80.1679,United States,US,USA,Florida,,155082,1840015144
Surprise,Surprise,33.6815,-112.4515,United States,US,USA,Arizona,,154948,1840021941
Sunnyvale,Sunnyvale,37.3836,-122.0255,United States,US,USA,California,,154236,1840021573
Champaign,Champaign,40.1142,-88.2737,United States,US,USA,Illinois,,153687,1840007239
Lake Charles,Lake Charles,30.201,-93.2111,United States,US,USA,Louisiana,,153662,1840015039
Ramapo,Ramapo,41.1404,-74.1072,United States,US,USA,New York,,152401,1840058431
Burlington,Burlington,36.076,-79.4685,United States,US,USA,North Carolina,,152375,1840013362
Bellevue,Bellevue,47.5951,-122.1535,United States,US,USA,Washington,,151847,1840018417
Fairfield,Fairfield,38.2583,-122.0335,United States,US,USA,California,,151672,1840020253
Naperville,Naperville,41.748,-88.1659,United States,US,USA,Illinois,,150692,1840008143
Joliet,Joliet,41.5188,-88.1499,United States,US,USA,Illinois,,150445,1840008192
Elkhart,Elkhart,41.6916,-85.9627,United States,US,USA,Indiana,,149701,1840008187
Escondido,Escondido,33.1348,-117.0723,United States,US,USA,California,,149668,1840020620
Pasadena,Pasadena,29.6575,-95.1498,United States,US,USA,Texas,,149433,1840020930
Mesquite,Mesquite,32.7602,-96.5865,United States,US,USA,Texas,,149299,1840020713
Midland,Midland,32.0243,-102.1147,United States,US,USA,Texas,,148848,1840020792
Columbia,Columbia,38.9472,-92.3268,United States,US,USA,Missouri,,148781,1840007391
Warner Robins,Warner Robins,32.5961,-83.6527,United States,US,USA,Georgia,,148466,1840015800
St. George,St. George,37.0758,-113.5752,United States,US,USA,Utah,,148405,1840021559
Pomona,Pomona,34.0585,-117.7626,United States,US,USA,California,,147943,1840020507
Topeka,Topeka,39.0346,-95.6955,United States,US,USA,Kansas,admin,147144,1840001621
Beaumont,Beaumont,30.0849,-94.1451,United States,US,USA,Texas,,146974,1840019612
South Lyon,South Lyon,42.4614,-83.6526,United States,US,USA,Michigan,,146383,1840002432
